GID,Names,Female_Rate,Male_Rate,less_than_49,F49_74,beyond_74,smokrate,GDP,Health_Care_Quality,Health_care_Access,Public_Health,rank,female,male,Age_adjusted_LCM,wind,NO2,Temp,SO2,PM25,ozone,co,rank
48469,"Victoria County, TX",34.06,35.47,0,75.43,225.6,0.157,2,30,47,23,1,1,1,27.4,78.79434858,10.73486156,71.07134138,3.699319226,35.91101783,33.62332971,0.255463783,1
22055,"Lafayette Parish, LA",31.83,55.6,0,113.1,322.43,0.231,26,42,29,45,1,1,2,39.5,78.81548309,8.691730976,69.38139343,4.34119463,34.38696289,35.56702042,0.276099354,3
48187,"Guadalupe County, TX",32.03,36.34,0,106.52,220.26,0.157,2,30,47,23,1,1,1,29.8,79.33889961,11.44897633,69.83290672,3.667588115,36.26513386,35.49106503,0.249482498,1
48091,"Comal County, TX",31.69,38.79,0,73.83,205.42,0.157,2,30,47,23,1,1,1,25.6,79.50861867,11.58602238,69.5135142,3.664252122,36.30810674,35.88193003,0.249513825,1
48167,"Galveston County, TX",41.91,49.42,0,112.79,316.89,0.157,2,30,47,23,1,1,2,38.9,79.76665666,9.403308868,69.86669752,3.73131556,34.40303294,35.08435726,0.254391771,3
5091,"Miller County, AR",59.19,65.75,0,171.18,0,0.223,34,44,40,49,2,2,2,47.1,79.77087708,9.475554466,63.82761841,4.114971352,34.93705521,36.08117447,0.266338694,4
48061,"Cameron County, TX",16.14,22.78,0,44.39,163.85,0.157,2,30,47,23,1,1,1,18.5,80.14607162,10.58507856,74.61985321,3.704176164,38.00177689,30.59901237,0.244351245,1
40031,"Comanche County, OK",51.66,59.03,0,148.36,424.82,0.201,30,48,49,44,1,2,2,55,80.19111252,12.59173791,61.75429916,4.240196109,32.68656349,40.19873571,0.264665801,5
28087,"Lowndes County, MS",39.11,114.65,0,172.01,484.08,0.222,36,50,45,46,2,1,3,59.9,80.27855682,15.20144113,64.60780589,4.100595872,33.8899231,36.98857498,0.268761824,5
28113,"Pike County, MS",53.45,80.77,0,133.73,0,0.222,36,50,45,46,1,2,2,41.9,80.33943176,11.49073315,68.36803436,3.908917189,35.22439384,36.49066544,0.272774935,3
1117,"Shelby County, AL",32.89,35.17,0,78.71,199.13,0.209,27,35,38,47,1,1,1,27.7,80.34775696,17.93996334,64.55623627,5.871951294,35.58536377,40.03916397,0.272044009,1
48265,"Kerr County, TX",51.33,82.92,0,128.59,204.17,0.157,2,30,47,23,2,2,2,32.7,80.37322807,11.50367105,69.01572323,3.879213661,35.48023319,36.15478277,0.252597813,2
12103,"Pinellas County, FL",62.54,71.35,3.34,116.97,254.23,0.161,4,24,48,13,2,2,2,35.3,80.38696671,12.78678536,73.26018143,1.414059877,29.81113911,35.1486721,0.257396057,2
12057,"Hillsborough County, FL",34.46,40.68,3.25,88.84,283.02,0.161,4,24,48,13,1,1,1,33.3,80.48915863,12.94068887,73.34030805,1.961166637,30.11685126,35.23243659,0.257477616,2
48245,"Jefferson County, TX",33.35,46.65,0,114.48,207.05,0.157,2,30,47,23,1,1,2,33.7,80.53792381,9.128135443,69.17286587,3.761390209,34.15271235,34.72422886,0.265794348,2
22097,"St. Landry Parish, LA",56.4,75.82,0,158.21,390.69,0.231,26,42,29,45,2,2,2,50.8,80.65909729,9.024009705,68.93340759,4.38992548,34.65194168,35.66365687,0.276909153,4
48361,"Orange County, TX",57.09,89.47,0,200.34,345.24,0.157,2,30,47,23,2,2,3,55.9,80.67858124,8.978138606,68.68157005,3.776607811,34.25071907,34.50446014,0.267826051,5
48321,"Matagorda County, TX",0,65.13,0,124.67,0,0.157,2,30,47,23,1,1,2,41.9,80.72633431,10.12159712,70.83836573,3.714018085,35.37672563,33.87399986,0.252198959,3
22113,"Vermilion Parish, LA",45.49,34.8,0,102.99,0,0.231,26,42,29,45,1,1,1,32,80.80237155,8.776228269,69.634719,4.283069505,34.19723256,35.56141891,0.275587237,2
5057,"Hempstead County, AR",0,134.24,0,251.99,0,0.223,34,44,40,49,3,1,3,66.1,80.96165212,10.47229497,63.29353778,4.114741246,34.58748118,36.399086,0.267626292,5
45079,"Richland County, SC",33.91,41.9,0,113.42,271,0.188,25,33,27,39,1,1,1,36.2,81.08921178,13.70255928,64.71680705,0.493191672,32.04926554,38.43886757,0.276307325,2
1073,"Jefferson County, AL",39.73,60.73,2.15,122.15,309.26,0.209,27,35,38,47,1,1,2,39,81.47333813,18.13660002,64.00902462,5.590517402,35.31214237,39.75425066,0.274975385,3
48291,"Liberty County, TX",51.52,59.67,0,170.71,378.43,0.157,2,30,47,23,1,2,2,53.3,81.4882946,9.394426134,68.75563145,3.751762897,34.78889132,35.04481077,0.258142838,5
28105,"Oktibbeha County, MS",40.33,52.53,0,0,374.25,0.222,36,50,45,46,1,1,2,45,81.50241852,14.92481899,64.84065501,3.742489417,34.28409322,36.60630544,0.250869085,4
37013,"Beaufort County, NC",0,116.48,0,105.94,388.27,0.172,10,21,22,30,2,1,3,41.5,81.52317142,14.38300705,61.79394436,1.987191513,27.25822043,40.2884984,0.241567595,3
12101,"Pasco County, FL",60.43,89.11,4.81,153.88,304.85,0.161,4,24,48,13,2,2,3,44.4,81.5543623,13.00854063,72.88898087,2.208000556,29.91720152,35.26346731,0.257712819,4
48201,"Harris County, TX",19.88,27.01,1.57,75.08,220.42,0.157,2,30,47,23,1,1,1,26.6,81.6104572,10.47264632,69.20988758,3.728495653,35.26474204,35.38995009,0.254225026,1
48039,"Brazoria County, TX",25.92,37.03,0,85.12,281.14,0.157,2,30,47,23,1,1,1,32.7,81.63991102,9.852957465,70.17897224,3.721558034,35.00562127,34.59230773,0.250797234,2
48199,"Hardin County, TX",51.23,56.49,0,169.42,0,0.157,2,30,47,23,1,2,2,38.2,81.87704163,9.05513223,68.47642059,3.766108799,34.62583618,34.65445938,0.257815176,3
48157,"Fort Bend County, TX",17.42,23.6,0,59.08,208.72,0.157,2,30,47,23,1,1,1,22.8,81.8820816,10.3403333,69.62739258,3.719853973,35.38749542,34.98167737,0.257142375,1
48339,"Montgomery County, TX",27.38,35.27,2.88,82.65,237.67,0.157,2,30,47,23,1,1,1,29.5,82.05763912,9.433148742,68.48028851,3.737790644,35.17046309,35.8621521,0.259010319,1
40089,"McCurtain County, OK",95.96,111.39,0,237.25,449.44,0.201,30,48,49,44,3,3,3,78,82.28213065,10.2227593,62.65969549,4.131819759,33.63848931,36.07125746,0.266531636,5
48209,"Hays County, TX",18.98,21.87,0,68.39,188.41,0.157,2,30,47,23,1,1,1,22.9,82.31495285,11.62374655,69.02810669,3.666140715,36.26156425,36.08478165,0.249527805,1
1127,"Walker County, AL",64.54,119.42,0,177.15,472.44,0.209,27,35,38,47,3,2,3,63.9,82.38618687,17.33135959,63.56650652,5.64560897,33.59843063,38.96546609,0.272400226,5
48485,"Wichita County, TX",40.7,59.99,0,151.25,281.69,0.157,2,30,47,23,1,1,2,41.3,82.46333822,12.44572067,62.73613358,4.240866979,32.15207609,40.25785828,0.256079242,3
45063,"Lexington County, SC",39.11,63.3,4.76,120.35,307.27,0.188,25,33,27,39,1,1,2,40.4,82.58009338,14.04375668,64.95243835,0.799432749,32.56328735,38.6750679,0.272339528,3
28095,"Monroe County, MS",59.55,89.39,0,204.85,0,0.222,36,50,45,46,2,2,3,50.2,82.64067713,15.13939365,63.75712268,4.57591931,33.16619174,37.27609698,0.250499008,4
48241,"Jasper County, TX",0,79.65,0,130.69,0,0.157,2,30,47,23,2,1,2,40.4,82.74236298,8.708905697,67.98155866,3.780715397,34.49127851,34.398789,0.257852703,3
1123,"Tallapoosa County, AL",62.48,117.57,0,173.22,413,0.209,27,35,38,47,3,2,3,54,82.82308807,17.03418312,65.43930206,3.940665913,35.92312775,39.55912247,0.269623905,5
48407,"San Jacinto County, TX",0,97.45,0,198.16,0,0.157,2,30,47,23,3,1,3,43.8,82.82778473,9.014580011,68.13153534,3.754242468,34.89745483,35.23482132,0.261535335,3
12053,"Hernando County, FL",82.63,103.78,0,156.54,338.29,0.161,4,24,48,13,3,3,3,47.2,82.84185791,13.05471802,72.5786438,2.367971182,29.67745495,35.26188278,0.257909529,4
45055,"Kershaw County, SC",63.79,84.21,0,163.35,308.64,0.188,25,33,27,39,2,2,3,53.3,82.91703949,13.72867775,64.13157349,0.489464152,31.74181061,38.89554138,0.274925566,5
22019,"Calcasieu Parish, LA",41.37,67.34,0,135.62,352.2,0.231,26,42,29,45,1,1,2,45.8,82.96044159,8.803483282,68.83952332,4.205085278,34.27965037,34.79083633,0.276158536,4
12081,"Manatee County, FL",53.73,71.35,0,115.03,209,0.161,4,24,48,13,2,2,2,29.8,82.96528149,12.08418001,73.74394512,1.516845882,29.55326605,34.96744776,0.257445283,1
40137,"Stephens County, OK",0,71.78,0,144.3,0,0.201,30,48,49,44,1,1,2,36.2,82.97663879,12.48721425,62.38957914,4.238406022,33.82095273,40.3607235,0.26143764,2
40015,"Caddo County, OK",0,105.43,0,263.89,0,0.201,30,48,49,44,3,1,3,63.5,83.22377153,12.78988136,60.91977622,4.271856568,32.82831678,39.66641894,0.27380499,5
1093,"Marion County, AL",0,116.23,0,235.57,0,0.209,27,35,38,47,3,1,3,53.8,83.43098068,16.40252958,63.06817055,5.502772212,32.23644972,37.95947742,0.24593487,5
37049,"Craven County, NC",61.3,73.69,0,154.09,318.73,0.172,10,21,22,30,2,2,2,47.6,83.4618345,14.21048562,62.4853799,2.891947917,26.80193329,40.10649109,0.241439262,4
48021,"Bastrop County, TX",36.69,68.72,0,113.06,442.92,0.157,2,30,47,23,1,1,2,45.1,83.46731894,11.14045089,68.75573077,3.677545309,35.90272304,35.90954208,0.251690288,4
1113,"Russell County, AL",46.37,57.62,0,149.37,295.6,0.209,27,35,38,47,1,1,2,42.6,83.47851563,16.49907494,66.76558075,2.498382807,36.68975677,38.29643345,0.269197337,3
48471,"Walker County, TX",0,35.4,0,106.11,0,0.157,2,30,47,23,1,1,1,25.2,83.58583679,9.016626358,67.8698822,3.747666693,34.94617538,35.8027153,0.2592583,1
12017,"Citrus County, FL",105.08,135.04,14.22,183.86,274.7,0.161,4,24,48,13,3,3,3,51.8,83.70462036,13.21574275,72.24534988,2.569225987,29.5119791,35.28631147,0.258070409,5
40051,"Grady County, OK",64.51,57.29,0,147.92,286.61,0.201,30,48,49,44,2,2,2,45.8,83.70975304,12.86781228,61.35409689,4.253995776,34.42019129,39.86136341,0.264900163,4
28085,"Lincoln County, MS",73.2,110.34,0,208.87,0,0.222,36,50,45,46,2,3,3,52.4,83.78824615,11.53415823,67.96013641,4.596077681,35.58317375,36.36101532,0.272073232,5
48373,"Polk County, TX",72.05,90.06,0,120.7,781.25,0.157,2,30,47,23,3,3,3,66.6,83.9294063,8.819095016,67.8255321,3.769419704,34.71939087,34.58300454,0.261443956,5
5059,"Hot Spring County, AR",93.02,85.01,0,209.18,450.79,0.223,34,44,40,49,3,3,3,59,83.94099172,11.62955427,62.63636525,7.529394627,33.98541896,37.05108032,0.263515776,5
48299,"Llano County, TX",115.69,0,0,123.82,0,0.157,2,30,47,23,3,3,1,39.7,83.95214208,11.29466867,67.87052536,3.669429938,35.03461838,37.03746668,0.249301632,3
28081,"Lee County, MS",60.48,63.74,0,156.71,393.63,0.222,36,50,45,46,2,2,2,51.5,83.97671127,15.44491895,62.97722054,5.13266921,32.49572945,37.60396004,0.248084679,4
37147,"Pitt County, NC",36.47,44.82,0,129.77,275.54,0.172,10,21,22,30,1,1,1,36.8,84.00241597,14.30894604,61.73235194,1.940532247,28.23265711,40.90792084,0.241534029,2
5051,"Garland County, AR",48.45,77.43,0,128.52,220.03,0.223,34,44,40,49,2,1,2,35.7,84.01185826,12.11911821,62.09230532,7.23872069,33.53238188,37.209489,0.253016604,2
1121,"Talladega County, AL",60.24,75.37,0,173.71,255.89,0.209,27,35,38,47,2,2,2,47.3,84.05368347,17.68573157,64.18782501,5.107148552,35.42530746,40.44664001,0.270017765,4
48041,"Brazos County, TX",17.58,20.79,0,65.06,249.66,0.157,2,30,47,23,1,1,1,25.7,84.05701192,10.05862904,68.04308573,3.711740176,35.108476,36.16893005,0.257066985,1
47157,"Shelby County, TN",34.52,49.25,3.63,116.56,266.55,0.226,16,15,35,43,1,1,2,37.2,84.21016693,15.4765398,61.14274406,4.847127318,33.03678989,39.3232317,0.263187796,2
5103,"Ouachita County, AR",0,144.81,0,260.46,0,0.223,34,44,40,49,3,1,3,70,84.31685734,10.58843529,64.03008318,7.12662667,34.88447237,36.61650324,0.267584287,5
22017,"Caddo Parish, LA",48.93,77.53,0,167.7,275.56,0.231,26,42,29,45,2,1,2,45.5,84.3310318,8.208936487,65.68415197,4.14946715,34.88993327,35.32853381,0.261111846,4
22011,"Beauregard Parish, LA",59.82,52.33,0,121.57,416.49,0.231,26,42,29,45,2,2,2,46.6,84.33307648,8.641451154,68.35033264,4.426733685,34.45152702,34.76015403,0.274212474,4
22015,"Bossier Parish, LA",35.76,79.71,0,146.47,389.01,0.231,26,42,29,45,2,1,2,49.9,84.36432648,8.440177781,65.69458313,4.284761906,35.03614731,35.68292236,0.262398458,4
28033,"DeSoto County, MS",61.44,66.36,0,149.07,592.4,0.222,36,50,45,46,2,2,2,63,84.45038605,14.69531091,61.78212992,4.697280884,33.41084417,38.75630951,0.260885229,5
28093,"Marshall County, MS",56.09,80.16,0,184.08,0,0.222,36,50,45,46,2,2,2,46.1,84.47422943,15.07687402,62.0873764,4.964200401,32.82727966,38.1122612,0.258394426,4
28161,"Yalobusha County, MS",165.18,206.9,0,331.93,0,0.222,36,50,45,46,3,3,3,102.5,84.52972031,14.02533221,63.53469849,4.528861642,34.02154064,36.33358002,0.252719212,5
28137,"Tate County, MS",88.27,139.69,0,193.34,586.04,0.222,36,50,45,46,3,3,3,69.1,84.61172485,14.51482995,62.17174021,4.814468861,33.52689616,38.26292292,0.260899872,5
28107,"Panola County, MS",78.57,79.4,0,200.3,448.63,0.222,36,50,45,46,3,3,2,61.5,84.64868164,14.34576607,62.71769257,4.795609665,33.74419556,37.58829753,0.258938752,5
45057,"Lancaster County, SC",51.62,73.46,0,139.96,271.42,0.188,25,33,27,39,2,2,2,41,84.68635559,14.13339972,63.38834763,0.162031213,32.13138485,41.27526379,0.278437614,3
13073,"Columbia County, GA",27.43,35.29,0,79.93,255.69,0.175,8,39,42,29,1,1,1,29.2,84.82002258,15.16634989,64.96788406,5.062992811,37.64339638,40.35994148,0.268801674,1
1115,"St. Clair County, AL",57.57,78.91,0,139.94,484.79,0.209,27,35,38,47,2,2,2,53.5,84.83754222,17.938351,63.48679034,5.226310253,34.84663582,40.77145068,0.277403618,5
22053,"Jefferson Davis Parish, LA",68.82,71.5,0,166.83,0,0.231,26,42,29,45,2,3,2,53.5,84.85244878,8.679202239,68.80759557,4.363326947,34.38569069,35.16941452,0.276124805,5
12039,"Gadsden County, FL",0,59.98,0,129.46,0,0.161,4,24,48,13,1,1,2,30.7,84.85994212,13.73600388,69.7166214,1.014564931,32.63912074,35.30156136,0.263250031,1
1043,"Cullman County, AL",56.66,94.18,0,145.16,464.04,0.209,27,35,38,47,2,2,3,54.4,84.86651001,17.71986198,62.9347229,5.609261513,33.27602234,40.10030518,0.273911399,5
12119,"Sumter County, FL",67.59,115.42,0,77.35,207.56,0.161,4,24,48,13,3,3,3,28.2,84.8895607,12.93280633,72.4653511,2.289278785,29.44935703,35.36310387,0.258164878,1
37107,"Lenoir County, NC",41.08,97.24,0,153.52,251.99,0.172,10,21,22,30,2,1,3,44.7,84.91759491,14.15196991,62.57065964,2.697173436,27.90127246,40.97793961,0.232747436,4
12075,"Levy County, FL",103.74,88.69,0,172.37,374.71,0.161,4,24,48,13,3,3,3,53.2,84.92145469,13.55763375,71.66862696,2.284680497,29.49894784,35.04112282,0.258217263,5
5035,"Crittenden County, AR",59.59,65.84,0,137.42,391.46,0.223,34,44,40,49,2,2,2,57.6,84.9552887,15.27768914,61.29221497,6.507201004,33.03668289,39.16645584,0.262115908,5
48277,"Lamar County, TX",77.34,70.84,0,166.53,375.32,0.157,2,30,47,23,2,3,2,50.3,84.97842026,9.939829191,64.02116903,3.954072674,33.74854914,37.13383738,0.259185404,4
48223,"Hopkins County, TX",53.12,93.1,0,158.17,403.09,0.157,2,30,47,23,2,2,3,51.3,84.98392614,9.224199454,65.22763189,4.012344519,33.88917414,36.72152901,0.261166433,4
